school_server_code,Atomic Structure,Basic Astronomy,Ecosystem,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Health and Disease,Linear Equations,Post-CLIx Survey,Pre-CLIx Survey,Proportional Reasoning,Reflecting on Values,Sound,Understanding Motion
tg300,50.644468313641205,48.1349206349206,43.589743589743605,33.1707202111614,26.56117920541,75.8700672554898,50.22776787482671,35.45168067226889,87.45539311615049,21.6666666666667,33.9285714285714,50.774289648970004,10.017421602787499,55.7330827067669,43.188405797101495
tg231,2.04081632653061,15.959595959596,12.5565610859729,18.9077404610493,11.284086284086301,54.7948096508905,36.80414694613479,6.372549019607839,11.4285714285714,0.0,0.0,7.90513833992095,7.642276422764231,42.7248677248677,35.228539576365705
tg212,11.607142857142902,7.77777777777778,3.3653846153846096,5.441176470588241,5.1845590307128795,21.4285714285714,0.0,4.41176470588235,77.9411764705882,0.0,86.47058823529409,4.34782608695652,0.0,6.15079365079365,4.05797101449275
tg184,30.988184747583198,0.0,4.32692307692308,8.272058823529411,0.0,16.071428571428598,2.77777777777778,0.0,87.5,0.0,7.5,0.0,0.0,52.1428571428571,11.1482720178372
tg210,6.8877551020408205,8.0,6.25,14.3814878892734,7.41452991452991,11.4285714285714,0.0,2.45098039215686,35.7142857142857,5.0,83.125,13.3152173913043,5.18292682926829,0.892857142857143,5.072463768115941
tg234,4.95626822157434,17.0940170940171,7.60869565217391,9.798492181682802,5.999784529196299,24.3628381585192,10.679271708683501,3.1440162271805296,32.681197478991606,14.583333333333302,7.692307692307691,21.3402094981042,4.975609756097559,18.125,8.14354727398206
tg108,5.10204081632653,11.920634920634901,1.92307692307692,8.11195445920304,6.00103021978022,9.49612403100775,0.0,3.6764705882352997,25.5514705882353,10.0,41.6666666666667,13.0434782608696,7.31707317073171,1.7857142857142903,4.34782608695652
tg283,7.55102040816327,15.562169312169301,9.23076923076923,7.517268270944741,1.9448805163090899,5.35714285714286,5.882352941176469,2.20588235294118,13.505402160864302,5.0,30.714285714285698,5.0057208237986295,3.0487804878048803,0.892857142857143,19.358178053830198
tg213,12.585034013605402,9.16666666666667,10.8653846153846,4.21517565359477,3.41813983118331,13.474025974026,3.92156862745098,3.43137254901961,14.285714285714299,2.5,25.0,4.29765886287625,0.948509485094851,3.5714285714285694,3.7681159420289903
tg74,0.0,0.0,7.692307692307691,4.18682275541796,1.40224358974359,11.9897959183673,0.0,0.0,71.4285714285714,0.0,3.3333333333333304,7.79848171152519,1.2195121951219499,0.0,0.0
tg204,1.2244897959183703,18.331397599690302,8.528428093645491,4.3846625188537,3.47985347985348,13.095238095238098,9.41176470588235,3.5067873303167403,25.892857142857103,0.0,6.36363636363636,2.60869565217391,2.64227642276423,5.04658385093168,0.48309178743961295
tg259,0.0,21.9444444444444,13.4615384615385,13.40625,12.202380952381,0.0,0.0,1.47058823529412,0.0,0.0,20.0,17.0903010033445,1.2195121951219499,0.0,1.4492753623188401
tg136,3.87755102040816,9.817460317460311,3.84615384615385,4.0579044117647,5.42296245421245,23.993738819320196,7.9533363733090106,2.66544117647059,18.4873949579832,0.0,4.16666666666667,3.7957211870255296,1.72764227642276,3.8265306122448997,2.7536231884058
tg272,2.38095238095238,6.518518518518519,3.4340659340659303,4.619262477718361,2.31829573934837,19.7951273532669,4.53885257806826,2.14932126696833,21.4285714285714,0.0,6.66666666666667,6.27850410459106,0.0,3.5714285714285694,4.34782608695652
tg299,0.0,0.0,0.0,11.029411764705902,2.0604395604395602,7.142857142857139,0.0,0.0,0.0,0.0,66.6666666666667,0.0,0.0,0.0,0.0
tg145,0.0,0.0,34.615384615384606,0.0,0.0,7.142857142857139,0.0,2.9411764705882297,0.0,0.0,10.0,8.69565217391304,1.82926829268293,0.0,8.69565217391304
tg129,0.0,5.0,7.692307692307691,9.88051470588235,8.13492063492064,9.973698781838321,10.511982570806099,2.45098039215686,0.0,0.0,0.0,7.2463768115942,0.0,1.7857142857142903,4.710144927536231
tg238,20.4081632653061,0.0,1.92307692307692,0.26041666666666696,2.20924908424908,2.3255813953488396,0.0,7.35294117647059,0.0,0.0,0.0,4.34782608695652,1.82926829268293,0.0,5.7971014492753605
tg23,0.0,0.0,13.4615384615385,0.0,0.0,11.2541528239203,5.882352941176469,0.0,0.0,0.0,0.0,4.34782608695652,1.2195121951219499,0.0,0.0
tg100,0.0,0.0,7.692307692307691,6.65299773755656,2.38095238095238,0.0,0.0,8.823529411764712,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tg292,0.0,0.0,0.0,2.9411764705882297,0.0,6.49350649350649,0.0,0.0,0.0,0.0,0.0,4.34782608695652,0.0,0.0,0.0
tg223,0.0,0.0,1.92307692307692,3.3318014705882297,1.19047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4390243902438997,0.0,0.0
