school_server_code,Atomic Structure,Basic Astronomy,Ecosystem,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Health and Disease,Linear Equations,Post-CLIx Survey,Pre-CLIx Survey,Proportional Reasoning,Reflecting on Values,Sound,Understanding Motion
ct1,24.4897959183673,42.047619047619,3.84615384615385,14.538334865196099,9.52550535883869,16.4148351648352,0.0,14.3048128342246,82.5396825396826,0.0,59.074074074074105,29.5615013006317,0.0,3.5714285714285694,3.7681159420289903
ct14,46.75324675324679,7.142857142857139,0.0,23.90625,9.51617826617826,45.9268424977965,10.5228758169935,44.1176470588235,0.0,0.0,0.0,0.0,0.0,30.827067669172898,2.8985507246376803
ct6,13.556851311953402,15.887445887445901,1.92307692307692,19.840568438914,11.990613553113599,30.777310924369697,5.882352941176469,1.8907563025210101,0.0,0.0,94.4736842105263,6.956521739130441,0.0,2.38095238095238,5.2536231884058
ct34,6.41399416909621,29.252645502645503,22.115384615384603,20.5759803921569,9.927572427572429,27.1915584415584,2.77777777777778,7.35294117647059,0.0,0.0,0.0,4.485712609282401,7.31707317073171,6.96428571428571,13.6008918617614
ct9,0.0,17.7777777777778,0.0,0.0,0.0,20.3956221876446,3.7254901960784306,8.823529411764712,0.0,5.0,90.9848484848485,4.89130434782609,0.0,4.16666666666667,1.4492753623188401
ct17,0.0,62.020202020202,30.7692307692308,0.0,0.0,0.0,0.0,35.8288770053476,0.0,0.0,0.0,8.69565217391304,0.0,13.169642857142902,0.0
ct22,13.9591836734694,21.9614512471655,2.56410256410256,9.65073529411765,0.0,18.262884978001303,2.35294117647059,3.05429864253394,19.047619047618998,0.0,7.142857142857139,6.728778467908901,1.6260162601626,1.7857142857142903,11.342155009451801
ct20,1.3605442176870701,20.4761904761905,1.92307692307692,15.5007489106754,3.1789638932496103,16.2736234409891,1.5795206971677602,4.41176470588235,0.0,0.0,6.25,2.17391304347826,1.2195121951219499,23.214285714285698,0.0
ct31,0.0,10.2741702741703,0.0,11.515231092437,7.61904761904762,10.7142857142857,3.92156862745098,0.0,14.285714285714299,0.0,0.0,15.1775760471413,0.0,0.0,18.840579710144898
ct33,7.142857142857139,20.190476190476197,1.92307692307692,5.95128676470588,3.2312925170067994,12.5,7.692307692307691,0.0,14.285714285714299,0.0,0.0,12.0427025055356,0.0,0.0,1.4492753623188401
ct18,0.0,0.0,0.0,15.8764567147614,21.3624338624339,0.0,0.0,0.0,0.0,0.0,0.0,15.8102766798419,0.0,0.0,27.4703557312253
ct13,6.122448979591839,6.111111111111111,0.0,0.0,0.0,19.272297469971896,6.7226890756302495,0.0,28.571428571428598,0.0,0.0,0.0,0.0,0.0,1.4492753623188401
ct4,0.0,0.0,0.0,29.762311901504802,10.0999694749695,7.142857142857139,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,14.975845410627999
ct11,0.0,0.0,0.0,36.6804534313726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ct19,0.0,0.0,0.0,0.0,0.0,18.9399696048632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1190476190476,0.0
ct28,0.0,0.0,0.0,4.743668300653599,2.2108843537415,0.0,0.0,0.0,0.0,0.0,5.0,1.4492753623188401,0.0,0.0,3.3816425120772897
ct3,0.0,0.0,0.0,0.0,0.0,12.5489236790607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ct7,4.604918890633179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
