school_server_code,Atomic Structure,Basic Astronomy,Ecosystem,English Beginner,English Elementary,Geometric Reasoning Part I,Geometric Reasoning Part II,Health and Disease,Linear Equations,Post-CLIx Survey,Pre-CLIx Survey,Proportional Reasoning,Reflecting on Values,Sound,Understanding Motion
rj100,35.1020408163265,37.4444444444444,17.548076923076902,1.47058823529412,0.793650793650794,65.6552810077519,52.5405861269239,0.0,65.3061224489796,25.0,56.875,31.5086569744955,1.2195121951219499,68.8186813186813,25.7818459191457
rj65,38.7117346938775,30.4526748971193,0.0,14.2583120204604,1.16431187859759,16.016786151425098,8.33333333333333,76.63398692810459,42.8571428571429,0.0,100.0,11.5384615384615,0.0,60.8766233766234,8.69565217391305
rj86,38.4174722520587,55.787728026534005,53.1772575250836,0.0,2.97619047619048,16.9642857142857,34.558823529411804,27.1323529411765,0.0,0.0,72.5,6.5217391304347805,0.0,24.7321428571428,44.3416589577551
rj82,20.8031599736669,42.053413958175895,0.0,15.966386554621801,7.38095238095238,40.398126463700294,23.1617647058823,36.437908496732,85.71428571428571,0.0,68.6111111111111,0.0,6.2717770034843205,6.25,22.1802142407057
rj73,19.727891156462604,55.852172518839204,3.14685314685315,8.965451989619382,8.85897435897436,37.2189600556285,25.3390522875817,0.0,28.571428571428598,40.0,73.1818181818182,8.6366319102892,7.839721254355401,30.357142857142897,18.0602006688963
rj13,29.891956782713102,6.66666666666667,3.3216783216783194,1.4973958333333302,1.19047619047619,47.27990033222589,11.0326797385621,1.47058823529412,0.0,95.0,88.0,14.7157190635451,12.5,3.5714285714285694,0.966183574879227
rj25,2.04081632653061,25.714285714285698,1.92307692307692,18.6366421568627,0.0,36.1811637974429,43.318036434431896,1.47058823529412,50.0,0.0,84.1666666666667,18.3574879227053,0.0,0.0,0.0
rj81,4.08163265306122,12.190476190476199,21.1538461538462,6.25,1.19047619047619,0.0,0.0,18.9839572192513,75.0,0.0,87.5,0.0,0.0,19.6428571428571,20.4830917874396
rj94,56.5597667638484,12.047619047619,3.84615384615384,0.0,1.98412698412698,28.857142857142897,5.882352941176469,55.980392156862706,10.7142857142857,0.0,0.0,28.8208080360784,1.3719512195122001,53.6630036630037,5.1759834368529996
rj75,19.334049409237398,51.92791005290999,10.0,7.57918552036199,0.873778998778999,58.13953488372089,11.764705882352901,5.69852941176471,0.0,3.3333333333333304,73.9285714285714,3.80952380952381,6.651884700665191,5.6122448979591795,4.89130434782609
rj80,16.1117078410311,30.0,7.051282051282049,6.893382352941179,6.492673992673991,17.1436122017517,4.70588235294118,6.40756302521008,100.0,0.0,14.5,10.8695652173913,0.0,28.571428571428598,8.43800322061191
rj49,20.0680272108844,19.1353383458647,15.158371040724,7.054227941176469,9.702380952380949,42.9563492063492,30.588235294117602,5.882352941176469,22.408963585434197,0.0,42.3076923076923,21.1657907310081,0.0,0.0,1.4492753623188401
rj76,17.5170068027211,50.4761904761905,0.0,12.617442810457499,0.0,30.5382059800664,4.15499533146592,18.3823529411765,18.367346938775498,0.0,60.3125,7.53623188405797,0.0,0.0,10.3059581320451
rj22,2.04081632653061,30.202821869488503,0.0,5.03008021390374,1.19047619047619,48.779069767441904,35.371517027863796,2.05882352941176,23.214285714285698,0.0,2.5,0.0,1.2195121951219499,1.7857142857142903,72.67080745341609
rj52,17.8571428571429,48.786596119929506,1.7307692307692302,4.67830882352941,1.2987012987013,47.72463880089621,7.27124183006536,5.43478260869565,0.0,0.0,55.4838709677419,12.935977066411901,1.70731707317073,1.7857142857142903,7.97101449275362
rj33,15.1515151515152,8.357142857142861,6.73076923076923,14.309954751131198,1.28663003663004,25.0,3.7037037037037,32.5557809330629,9.52380952380952,0.0,67.1666666666667,6.19619701427482,2.03252032520325,6.428571428571429,10.7551487414188
rj10,2.04081632653061,5.925925925925929,26.282051282051302,8.76225490196078,5.60897435897436,17.0127353266888,31.568627450980397,12.254901960784302,23.9495798319328,0.0,15.0,38.8067157861208,1.2195121951219499,2.0833333333333304,2.8985507246376803
rj18,0.0,0.0,0.0,69.1176470588235,0.0,14.285714285714299,0.0,0.0,0.0,0.0,96.304347826087,8.69565217391304,0.0,0.0,0.0
rj31,9.0702947845805,15.6676003734827,1.28205128205128,1.47058823529412,1.50641025641026,8.03571428571429,4.41176470588235,1.47058823529412,42.8571428571429,6.25,68.1818181818182,21.340842666597396,2.03252032520325,1.7857142857142903,2.5362318840579703
rj74,0.0,43.6967418546366,0.0,6.931534406215321,0.0,21.156832298136603,9.049773755656108,0.0,0.0,0.0,90.78947368421049,14.726867335563,0.0,0.0,0.0
rj93,21.9591836734694,36.0544217687075,0.0,6.525735294117651,2.38095238095238,35.2857142857143,6.66089965397924,0.0,0.0,0.0,41.8421052631579,13.6645962732919,0.0,0.0,8.22814399251987
rj26,3.9115646258503403,21.489621489621502,7.692307692307691,13.771446078431401,6.96918024504231,5.19480519480519,6.026528258362171,15.240641711229902,0.0,0.0,45.0,30.488792870645398,7.92682926829268,2.18253968253968,3.0797101449275397
rj27,3.5714285714285694,19.047619047618998,9.065934065934071,4.66196895424837,0.0,12.394957983193299,13.7254901960784,2.9411764705882297,14.285714285714299,0.0,68.4615384615385,9.578293559986921,1.82926829268293,3.5714285714285694,1.93236714975845
rj64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.7739938080495,0.0,0.0,0.0,0.0,0.0,82.5187969924812,0.0
rj6,30.182599355531696,30.693277310924397,3.2051282051282,2.9411764705882297,0.0,13.6363636363636,0.0,1.10294117647059,0.0,0.0,0.0,8.69565217391304,4.47154471544715,0.0,57.0048309178744
rj78,29.795918367346896,25.8333333333333,21.832579185520395,0.0,0.793650793650794,0.0,0.0,42.892156862745104,0.0,0.0,0.0,24.7003136217183,0.0,0.0,0.0
rj62,18.75,0.0,0.0,5.882352941176469,0.0,0.0,0.0,30.3633217993079,0.0,0.0,78.52941176470591,8.69565217391304,0.0,0.0,0.0
rj2,15.8657011191573,25.0918964076859,4.807692307692309,1.9170168067226898,9.725274725274732,53.571428571428605,3.92156862745098,5.29411764705882,0.0,0.0,0.0,7.45341614906832,2.4390243902438997,3.03571428571429,1.57004830917874
rj47,14.625850340136099,0.0,0.0,8.18432486631016,22.458791208791197,53.571428571428605,5.882352941176469,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
rj45,0.0,0.0,0.0,0.0,0.0,15.5612244897959,8.75350140056022,0.0,0.0,0.0,89.5833333333333,0.0,0.0,0.0,0.0
